#{"t_start": 1666213462.2804365, "env_id": "smb-snake-v0"}
r,l,t
-41.286864,389,581.204191
1874.481031,281,974.767642
1141.038272,168,1381.956963
1059.967028,173,1604.435787
1003.121406,243,1842.617967
846.399724,225,2086.526639
209.504015,63,2144.043143
804.324977,223,2395.052242
1069.108112,279,2731.93891
889.035839,232,3172.553004
914.164079,225,3481.552659
1026.296328,224,3749.721247
1687.831289,390,4230.749502
1255.253144,279,4509.656954
1234.211423,280,4771.72922
1448.845325,337,5313.173715
929.873794,280,5778.639399
1323.126109,337,6179.99043
1053.227235,223,6503.871435
1209.510193,392,7272.907124
