#{"t_start": 1666814757.230863, "env_id": "smb-up-right-v0"}
r,l,t
3.777605,5,513.104896
1.636209,5,514.469268
127.165852,28,517.602191
3.12307,6,518.837491
117.573599,28,522.453172
146.479595,28,525.669356
21.234379,6,526.989961
12.845085,4,528.117129
131.085853,28,532.084781
2.164829,4,533.263891
8.289664,6,534.651582
161.087394,28,538.462458
9.48258,7,539.890899
10.648079,5,541.719621
-1.886581,7,542.990701
149.39056,28,546.849703
10.849934,2,548.413745
9.943338,6,549.917737
133.477705,28,553.099646
38.022923,7,555.487607
11.258492,6,557.746428
7.480195,5,559.046512
12.868847,5,560.510178
3.94342,6,562.295421
5.441409,4,563.671101
33.939,5,565.270477
5.569017,3,566.655446
4.325041,4,568.823271
135.220581,28,571.843421
16.217532,5,575.099144
0.586178,6,576.672815
15.464327,7,578.209408
152.521511,28,582.004532
-2.066691,4,583.204484
0.374026,1,584.333281
4.693109,7,585.80182
17.680731,4,587.181027
10.48847,7,591.007734
3.794052,1,592.35216
18.168162,4,593.554267
118.786493,28,596.730134
4.662018,5,597.951547
16.527515,3,599.177793
10.061107,5,600.791325
16.504501,4,602.331785
13.216348,5,603.522281
9.75063,7,604.97113
1.742629,4,606.904525
10.544562,7,608.398334
7.226192,4,609.930756
158.843208,28,613.085325
16.620631,7,614.995745
144.802511,28,618.244887
8.809436,7,619.988415
7.70353,6,622.219924
-0.159875,5,623.435578
-5.543629,6,624.738091
5.408808,7,626.308943
-2.29204,4,627.645664
5.19605,3,629.105245
44.740691,7,630.736414
11.088717,3,632.046739
30.268291,6,633.575658
23.78417,7,634.824866
3.983648,5,636.041355
11.242817,5,638.169224
9.969854,5,639.995274
13.576112,7,641.561274
4.09862,4,643.147551
133.220664,28,646.189366
4.504102,5,648.873093
-0.93591,6,650.151312
7.112663,7,678.298917
10.02547,2,679.777221
16.464617,7,684.065955
3.336446,6,685.306914
6.022519,7,687.882225
16.673507,7,689.905602
151.320409,28,694.518355
37.63843,7,696.462166
14.766175,4,697.967026
7.951894,6,699.550038
175.137854,28,703.387027
20.766742,5,705.001358
10.973564,3,707.616371
6.307046,5,709.006256
2.369125,1,710.147232
23.129445,3,711.686
9.112441,6,713.614803
26.708475,4,714.984835
23.84685,5,716.521948
2.022185,7,717.818462
5.032092,6,719.453936
6.530086,7,721.186077
11.408814,4,722.792599
11.15496,5,725.170036
7.033095,4,726.729491
21.295151,5,728.325224
19.046501,5,729.724347
17.772986,4,730.938257
185.403459,28,735.043369
155.760731,28,738.830548
152.333954,28,742.164762
7.980511,3,743.286213
14.854863,4,744.759376
172.263247,28,775.583882
3.338413,4,776.746568
-3.113478,5,778.189473
170.361746,28,782.508088
22.123724,6,784.077472
144.880308,28,786.824429
3.071261,4,787.955499
30.065561,6,789.675946
167.882973,28,792.965521
14.141666,3,794.603276
12.626968,2,795.745129
9.377399,5,797.127885
38.324823,7,798.603827
33.971942,7,800.706019
16.964669,5,802.218466
1.050125,5,803.559525
17.888292,4,805.424185
31.541875,7,807.157207
20.618544,7,808.687713
11.623032,7,810.27994
147.614854,28,813.68913
26.852381,6,815.100794
7.102503,5,816.474711
13.232016,6,817.827171
19.01116,7,820.03733
159.045809,28,823.825136
38.515099,4,825.59335
4.609177,1,826.953554
9.64639,6,828.214238
0.503172,6,829.507825
194.4431,28,833.037045
4.668849,7,834.942841
10.077797,6,836.431865
6.98983,7,837.85877
15.827214,7,839.393425
21.689254,5,840.795575
-3.345945,6,842.566304
-2.498689,6,844.081239
-4.406145,3,845.172389
143.396562,28,848.960491
4.207998,3,850.390522
11.473742,4,851.606187
25.7602,6,853.106481
1.11409,2,854.192759
-1.143135,3,856.179525
23.126458,7,858.418019
232.820187,28,862.59615
16.891725,5,864.21924
17.734956,5,865.529417
11.344426,3,866.932537
160.4132,28,870.264516
17.031614,6,871.749196
184.740453,28,874.895714
14.055524,6,876.675506
28.249364,7,878.264656
3.783866,6,879.589852
26.814637,5,880.965299
11.87549,7,882.320864
180.945705,28,886.123853
3.920346,6,887.55123
167.448684,28,892.028793
144.686187,28,894.66266
17.128102,6,896.385979
178.529021,28,898.962762
4.752607,4,900.238527
22.852097,7,901.695683
155.222177,28,905.25496
170.854301,28,908.148589
161.76112,28,910.990817
32.189863,6,913.093861
14.788204,3,914.364197
37.013844,5,915.74297
11.743745,7,917.250529
12.946551,5,918.726109
181.632456,28,921.745966
39.434615,6,923.306167
171.53011,28,927.037184
6.079829,6,928.46244
7.50678,6,929.760348
4.394497,5,931.155953
13.806757,6,932.887723
10.88896,5,934.211418
137.905777,28,938.041125
4.98994,5,939.440727
17.988875,3,940.591729
9.036313,3,941.835538
6.129235,6,943.35679
19.73905,5,944.753907
17.38052,6,947.187639
2.754023,3,948.586533
7.081475,6,951.18779
173.972234,28,954.449589
-4.672936,6,955.783088
193.265667,28,959.049005
195.896631,28,961.980401
6.922016,3,963.070932
18.530164,7,964.672647
167.680026,28,967.907917
35.759786,5,969.428889
10.062024,4,970.791841
27.269739,7,972.275704
15.501906,7,974.358723
23.385976,7,976.828711
28.075843,5,978.331535
13.802438,3,979.550931
12.42132,5,981.115436
20.864929,7,982.423092
7.303908,3,983.85932
29.477494,7,985.479694
7.444409,6,987.137057
37.433682,6,988.367504
6.283402,2,990.399308
147.487356,28,993.911625
14.129481,6,995.770118
6.836727,5,996.989828
14.808703,5,999.18876
17.056661,4,1000.583813
14.411525,6,1002.330994
187.642996,28,1005.496288
1.258397,3,1006.624185
219.938487,28,1010.30802
30.484321,5,1012.577538
6.533057,4,1013.928456
206.042766,28,1017.573025
26.532741,7,1019.654617
166.975983,28,1022.171728
15.279569,5,1023.889052
22.901387,7,1025.657711
